level_of_loading,incline,mean_speed_kmh,t_amb,consumption_kwh_per_km
0.6,0.04,37.1,35,3.472
0.9,-0.04,12.1,-15,2.01
0.9,-0.04,12.1,-5,0.866
0.9,-0.04,12.1,5,-0.112
0.9,-0.04,12.1,15,-0.504
0.9,-0.04,12.1,25,-0.168
0.9,-0.04,12.1,35,0.493
0.9,-0.04,18,-15,0.886
0.9,-0.04,18,-5,0.167
0.9,-0.04,18,5,-0.456
0.9,-0.04,18,15,-0.694
0.9,-0.04,18,25,-0.471
0.9,-0.04,18,35,-0.04
0.9,-0.04,25.2,-15,0.067
0.9,-0.04,25.2,-5,-0.327
0.9,-0.04,25.2,5,-0.684
0.9,-0.04,25.2,15,-0.789
0.9,-0.04,25.2,25,-0.635
0.9,-0.04,25.2,35,-0.359
0.9,-0.04,30,-15,-0.147
0.9,-0.04,30,-5,-0.469
0.9,-0.04,30,5,-0.764
0.9,-0.04,30,15,-0.85
0.9,-0.04,30,25,-0.723
0.9,-0.04,30,35,-0.494
0.9,-0.04,37.1,-15,-0.308
0.9,-0.04,37.1,-5,-0.582
0.9,-0.04,37.1,5,-0.83
0.9,-0.04,37.1,15,-0.91
0.9,-0.04,37.1,25,-0.809
0.9,-0.04,37.1,35,-0.622
0.9,-0.03,12.1,-15,2.48
0.9,-0.03,12.1,-5,1.336
0.9,-0.03,12.1,5,0.357
0.9,-0.03,12.1,15,-0.034
0.9,-0.03,12.1,25,0.301
0.9,-0.03,12.1,35,0.963
0.9,-0.03,18,-15,1.366
0.9,-0.03,18,-5,0.647
0.9,-0.03,18,5,0.024
0.9,-0.03,18,15,-0.214
0.9,-0.03,18,25,0.009
0.9,-0.03,18,35,0.441
0.9,-0.03,25.2,-15,0.56
0.9,-0.03,25.2,-5,0.167
0.9,-0.03,25.2,5,-0.19
0.9,-0.03,25.2,15,-0.295
0.9,-0.03,25.2,25,-0.141
0.9,-0.03,25.2,35,0.135
0.9,-0.03,30,-15,0.331
0.9,-0.03,30,-5,0.008
0.9,-0.03,30,5,-0.287
0.9,-0.03,30,15,-0.373
0.9,-0.03,30,25,-0.245
0.9,-0.03,30,35,-0.016
0.9,-0.03,37.1,-15,0.152
0.9,-0.03,37.1,-5,-0.121
0.9,-0.03,37.1,5,-0.37
0.9,-0.03,37.1,15,-0.45
0.9,-0.03,37.1,25,-0.348
0.9,-0.03,37.1,35,-0.162
0.9,-0.02,12.1,-15,2.949
0.9,-0.02,12.1,-5,1.805
0.9,-0.02,12.1,5,0.827
0.9,-0.02,12.1,15,0.435
0.9,-0.02,12.1,25,0.771
0.9,-0.02,12.1,35,1.432
0.9,-0.02,18,-15,1.846
0.9,-0.02,18,-5,1.127
0.9,-0.02,18,5,0.504
0.9,-0.02,18,15,0.266
0.9,-0.02,18,25,0.489
0.9,-0.02,18,35,0.921
0.9,-0.02,25.2,-15,1.055
0.9,-0.02,25.2,-5,0.661
0.9,-0.02,25.2,5,0.304
0.9,-0.02,25.2,15,0.199
0.9,-0.02,25.2,25,0.353
0.9,-0.02,25.2,35,0.63
0.9,-0.02,30,-15,0.809
0.9,-0.02,30,-5,0.486
0.9,-0.02,30,5,0.191
0.9,-0.02,30,15,0.105
0.9,-0.02,30,25,0.233
0.9,-0.02,30,35,0.462
0.9,-0.02,37.1,-15,0.613
0.9,-0.02,37.1,-5,0.34
0.9,-0.02,37.1,5,0.091
0.9,-0.02,37.1,15,0.011
0.9,-0.02,37.1,25,0.113
0.9,-0.02,37.1,35,0.299
0.9,-0.01,12.1,-15,3.431
0.9,-0.01,12.1,-5,2.286
0.9,-0.01,12.1,5,1.307
0.9,-0.01,12.1,15,0.915
0.9,-0.01,12.1,25,1.251
0.9,-0.01,12.1,35,1.911
0.9,-0.01,18,-15,2.356
0.9,-0.01,18,-5,1.636
0.9,-0.01,18,5,1.013
0.9,-0.01,18,15,0.773
0.9,-0.01,18,25,0.995
0.9,-0.01,18,35,1.426
0.9,-0.01,25.2,-15,1.582
0.9,-0.01,25.2,-5,1.187
0.9,-0.01,25.2,5,0.829
0.9,-0.01,25.2,15,0.723
0.9,-0.01,25.2,25,0.876
0.9,-0.01,25.2,35,1.152
0.9,-0.01,30,-15,1.343
0.9,-0.01,30,-5,1.019
0.9,-0.01,30,5,0.722
0.9,-0.01,30,15,0.634
0.9,-0.01,30,25,0.76
0.9,-0.01,30,35,0.987
0.9,-0.01,37.1,-15,1.158
0.9,-0.01,37.1,-5,0.881
0.9,-0.01,37.1,5,0.63
0.9,-0.01,37.1,15,0.547
0.9,-0.01,37.1,25,0.646
0.9,-0.01,37.1,35,0.83
0.9,0,12.1,-15,3.979
0.9,0,12.1,-5,2.834
0.9,0,12.1,5,1.855
0.9,0,12.1,15,1.463
0.9,0,12.1,25,1.798
0.9,0,12.1,35,2.459
0.9,0,18,-15,2.921
0.9,0,18,-5,2.201
0.9,0,18,5,1.577
0.9,0,18,15,1.338
0.9,0,18,25,1.56
0.9,0,18,35,1.991
0.9,0,25.2,-15,2.151
0.9,0,25.2,-5,1.756
0.9,0,25.2,5,1.398
0.9,0,25.2,15,1.292
0.9,0,25.2,25,1.445
0.9,0,25.2,35,1.721
0.9,0,30,-15,1.927
0.9,0,30,-5,1.603
0.9,0,30,5,1.306
0.9,0,30,15,1.218
0.9,0,30,25,1.344
0.9,0,30,35,1.571
0.9,0,37.1,-15,1.758
0.9,0,37.1,-5,1.481
0.9,0,37.1,5,1.23
0.9,0,37.1,15,1.147
0.9,0,37.1,25,1.246
0.9,0,37.1,35,1.43
0.9,0.01,12.1,-15,4.528
0.9,0.01,12.1,-5,3.383
0.9,0.01,12.1,5,2.404
0.9,0.01,12.1,15,2.012
0.9,0.01,12.1,25,2.347
0.9,0.01,12.1,35,3.008
0.9,0.01,18,-15,3.486
0.9,0.01,18,-5,2.766
0.9,0.01,18,5,2.143
0.9,0.01,18,15,1.903
0.9,0.01,18,25,2.125
0.9,0.01,18,35,2.556
0.9,0.01,25.2,-15,2.721
0.9,0.01,25.2,-5,2.326
0.9,0.01,25.2,5,1.968
0.9,0.01,25.2,15,1.862
0.9,0.01,25.2,25,2.015
0.9,0.01,25.2,35,2.29
0.9,0.01,30,-15,2.512
0.9,0.01,30,-5,2.187
0.9,0.01,30,5,1.891
0.9,0.01,30,15,1.803
0.9,0.01,30,25,1.928
0.9,0.01,30,35,2.156
0.9,0.01,37.1,-15,2.358
0.9,0.01,37.1,-5,2.082
0.9,0.01,37.1,5,1.83
0.9,0.01,37.1,15,1.747
0.9,0.01,37.1,25,1.847
0.9,0.01,37.1,35,2.031
0.9,0.02,12.1,-15,5.076
0.9,0.02,12.1,-5,3.932
0.9,0.02,12.1,5,2.953
0.9,0.02,12.1,15,2.561
0.9,0.02,12.1,25,2.896
0.9,0.02,12.1,35,3.557
0.9,0.02,18,-15,4.052
0.9,0.02,18,-5,3.332
0.9,0.02,18,5,2.708
0.9,0.02,18,15,2.468
0.9,0.02,18,25,2.691
0.9,0.02,18,35,3.121
0.9,0.02,25.2,-15,3.291
0.9,0.02,25.2,-5,2.896
0.9,0.02,25.2,5,2.538
0.9,0.02,25.2,15,2.432
0.9,0.02,25.2,25,2.584
0.9,0.02,25.2,35,2.86
0.9,0.02,30,-15,3.096
0.9,0.02,30,-5,2.772
0.9,0.02,30,5,2.475
0.9,0.02,30,15,2.387
0.9,0.02,30,25,2.513
0.9,0.02,30,35,2.74
0.9,0.02,37.1,-15,2.959
0.9,0.02,37.1,-5,2.683
0.9,0.02,37.1,5,2.431
0.9,0.02,37.1,15,2.348
0.9,0.02,37.1,25,2.447
0.9,0.02,37.1,35,2.631
0.9,0.03,12.1,-15,5.625
0.9,0.03,12.1,-5,4.48
0.9,0.03,12.1,5,3.501
0.9,0.03,12.1,15,3.109
0.9,0.03,12.1,25,3.444
0.9,0.03,12.1,35,4.105
0.9,0.03,18,-15,4.617
0.9,0.03,18,-5,3.897
0.9,0.03,18,5,3.273
0.9,0.03,18,15,3.034
0.9,0.03,18,25,3.256
0.9,0.03,18,35,3.687
0.9,0.03,25.2,-15,3.861
0.9,0.03,25.2,-5,3.466
0.9,0.03,25.2,5,3.108
0.9,0.03,25.2,15,3.002
0.9,0.03,25.2,25,3.155
0.9,0.03,25.2,35,3.431
0.9,0.03,30,-15,3.682
0.9,0.03,30,-5,3.357
0.9,0.03,30,5,3.06
0.9,0.03,30,15,2.972
0.9,0.03,30,25,3.098
0.9,0.03,30,35,3.325
0.9,0.03,37.1,-15,3.56
0.9,0.03,37.1,-5,3.283
0.9,0.03,37.1,5,3.032
0.9,0.03,37.1,15,2.949
0.9,0.03,37.1,25,3.048
0.9,0.03,37.1,35,3.232
0.9,0.04,12.1,-15,6.173
0.9,0.04,12.1,-5,5.029
0.9,0.04,12.1,5,4.05
0.9,0.04,12.1,15,3.658
0.9,0.04,12.1,25,3.993
0.9,0.04,12.1,35,4.654
0.9,0.04,18,-15,5.182
0.9,0.04,18,-5,4.462
0.9,0.04,18,5,3.839
0.9,0.04,18,15,3.599
0.9,0.04,18,25,3.821
0.9,0.04,18,35,4.252
0.9,0.04,25.2,-15,4.432
0.9,0.04,25.2,-5,4.037
0.9,0.04,25.2,5,3.679
0.9,0.04,25.2,15,3.573
0.9,0.04,25.2,25,3.725
0.9,0.04,25.2,35,4.001
0.9,0.04,30,-15,4.267
0.9,0.04,30,-5,3.942
0.9,0.04,30,5,3.645
0.9,0.04,30,15,3.557
0.9,0.04,30,25,3.683
0.9,0.04,30,35,3.91
0.9,0.04,37.1,-15,4.16
0.9,0.04,37.1,-5,3.884
0.9,0.04,37.1,5,3.632
0.9,0.04,37.1,15,3.549
,,,,
